Shipment_ID,Region,Transport_Mode,Priority,Distance_km,Shipment_Volume_units,Weight_kg,Delivery_Time_days,Transport_Cost_INR,Delayed,Delay_Days
SHP-0314,South,Road,Standard,470.1,19.5,21.3,6.02,3235.0,Yes,0.0
SHP-0315,South,Road,Standard,460.1,14.6,19.8,6.39,2111.0,No,2.04
SHP-0316,South,Air,Standard,703.9,15.7,19.6,1.8,6537.0,No,2.94
SHP-0317,South,Air,Standard,504.8,45.3,67.9,1.54,5220.0,No,5.02
SHP-0318,East,Road,Standard,280.0,18.9,28.1,5.57,1241.0,Yes,0.0
SHP-0319,South,Rail,Express,368.1,13.0,13.7,6.28,2265.0,Yes,0.0
SHP-0320,West,Road,Express,916.6,15.1,16.4,5.11,4346.0,No,1.07
SHP-0321,West,Road,Standard,265.0,36.8,50.8,5.1,2621.0,No,5.75
SHP-0322,South,Road,Standard,544.2,29.1,40.6,4.5,2660.0,No,1.37
SHP-0323,South,Road,Standard,718.8,27.3,28.5,5.86,2574.0,No,3.21
SHP-0324,East,Rail,Express,574.6,17.4,18.5,8.79,2304.0,Yes,0.0
SHP-0325,West,Rail,Standard,451.6,27.5,41.8,8.95,1448.0,No,0.5
SHP-0326,East,Road,Express,493.0,14.1,20.6,4.33,1843.0,Yes,0.0
SHP-0327,West,Road,Standard,595.6,17.4,14.3,5.84,2349.0,Yes,0.0
SHP-0328,East,Road,Standard,263.1,34.2,41.1,5.19,1966.0,Yes,0.0
SHP-0329,East,Air,Standard,428.2,32.5,57.4,3.8,4907.0,Yes,0.0
SHP-0330,South,Road,Standard,1320.9,11.7,8.1,8.51,4367.0,No,2.77
SHP-0331,West,Road,Express,553.8,12.5,21.6,4.77,3003.0,Yes,0.0
SHP-0332,North,Road,Standard,461.0,21.3,18.2,6.73,1827.0,No,1.18
SHP-0333,East,Road,Standard,346.4,51.9,66.6,5.2,2373.0,Yes,0.0
SHP-0334,West,Rail,Express,264.9,7.0,8.3,6.34,725.0,Yes,0.0
SHP-0335,North,Rail,Express,502.6,23.4,15.5,5.94,1579.0,No,3.94
SHP-0336,East,Road,Express,522.9,9.4,16.9,5.23,2820.0,Yes,0.0
SHP-0337,North,Rail,Standard,411.5,14.2,17.3,6.12,794.0,No,3.53
SHP-0338,East,Air,Standard,1400.0,16.4,30.3,3.06,12728.0,No,1.82
SHP-0339,North,Road,Express,279.0,15.9,16.1,4.7,2389.0,Yes,0.0
SHP-0340,West,Road,Standard,240.9,15.0,26.0,4.69,1005.0,Yes,0.0
SHP-0341,North,Road,Standard,349.4,20.2,36.4,4.9,1906.0,Yes,0.0
SHP-0342,West,Rail,Express,419.3,15.0,20.1,6.05,1607.0,Yes,0.0
SHP-0343,West,Road,Standard,256.7,9.0,8.1,4.62,500.0,Yes,0.0
SHP-0344,East,Road,Standard,495.6,30.8,46.5,6.28,2681.0,No,1.82
SHP-0345,West,Road,Express,526.9,30.4,40.6,5.76,2849.0,No,5.52
SHP-0346,West,Air,Standard,636.0,31.9,58.5,0.5,6527.0,Yes,0.0
SHP-0347,West,Road,Standard,316.7,8.6,10.3,4.39,2000.0,No,3.04
SHP-0348,South,Rail,Standard,873.5,23.7,23.3,9.92,1799.0,No,1.27
SHP-0349,East,Road,Standard,611.8,29.1,24.0,6.43,2519.0,No,2.68
SHP-0350,North,Air,Standard,275.6,11.4,17.4,2.2,2292.0,Yes,0.0
SHP-0351,East,Road,Express,256.0,20.2,37.7,4.54,2459.0,Yes,0.0
SHP-0352,North,Road,Express,363.6,18.8,12.9,4.17,2433.0,Yes,0.0
SHP-0353,East,Air,Standard,527.6,55.3,87.2,2.21,7032.0,Yes,0.0
SHP-0354,East,Air,Standard,572.0,57.9,104.7,2.48,6177.0,Yes,0.0
SHP-0355,South,Road,Express,611.2,8.0,6.0,6.21,2443.0,No,1.23
SHP-0356,East,Road,Standard,1273.1,79.2,62.4,8.5,5900.0,No,1.2
SHP-0357,West,Rail,Standard,139.5,12.1,18.4,5.89,1270.0,No,0.99
SHP-0358,West,Air,Standard,405.0,34.4,50.3,2.22,4423.0,Yes,0.0
SHP-0359,South,Road,Standard,1213.2,34.3,25.2,9.64,4387.0,No,3.78
SHP-0360,East,Road,Standard,652.6,11.6,19.7,6.43,2370.0,Yes,0.0
SHP-0361,West,Rail,Standard,232.0,26.3,34.4,7.14,2046.0,No,2.86
SHP-0362,North,Rail,Standard,481.3,18.9,33.8,8.66,1679.0,Yes,0.0
SHP-0363,North,Rail,Standard,391.0,27.2,47.6,7.21,2242.0,Yes,0.0
SHP-0364,North,Road,Standard,382.8,22.8,38.0,5.11,1411.0,Yes,0.0
SHP-0365,East,Road,Standard,313.1,38.8,50.2,5.11,1854.0,No,0.5
SHP-0366,South,Air,Standard,459.0,20.9,20.2,1.96,4751.0,Yes,0.0
SHP-0367,West,Air,Standard,783.5,18.3,23.5,3.26,7252.0,No,1.42
SHP-0368,East,Rail,Standard,330.0,36.7,28.5,7.46,1152.0,No,1.87
SHP-0369,South,Road,Standard,613.8,27.6,40.7,6.34,2430.0,No,1.78
SHP-0370,West,Road,Standard,675.1,30.0,24.6,5.55,3136.0,No,0.63
SHP-0371,West,Rail,Standard,869.5,13.9,18.0,9.05,2456.0,No,7.62
SHP-0372,South,Road,Express,253.4,11.3,8.1,5.58,2275.0,Yes,0.0
SHP-0373,South,Air,Standard,438.2,14.7,15.1,1.99,4728.0,Yes,0.0
SHP-0374,South,Road,Express,291.9,14.3,13.4,3.54,1894.0,Yes,0.0
SHP-0375,North,Rail,Express,459.5,31.0,44.1,7.89,2239.0,Yes,0.0
SHP-0376,North,Air,Standard,457.8,34.4,56.1,2.37,5166.0,Yes,0.0
SHP-0377,West,Road,Standard,216.8,18.4,13.3,5.07,1407.0,Yes,0.0
SHP-0378,South,Road,Express,475.3,44.1,75.6,4.72,3563.0,No,5.77
SHP-0379,South,Road,Standard,1309.2,42.6,73.6,8.6,5230.0,Yes,0.0
SHP-0380,East,Road,Standard,573.3,23.0,24.7,6.23,2505.0,No,0.59
SHP-0381,East,Road,Standard,190.9,12.8,18.8,3.85,943.0,Yes,0.0
SHP-0382,West,Road,Standard,244.0,47.8,55.1,4.67,2239.0,No,1.6
SHP-0383,West,Air,Standard,425.4,19.4,16.4,2.33,4706.0,Yes,0.0
SHP-0384,South,Road,Express,247.4,21.5,28.2,5.34,2273.0,Yes,0.0
SHP-0385,South,Road,Express,843.4,16.7,12.6,6.31,4053.0,Yes,0.0
SHP-0386,West,Road,Standard,177.4,12.3,21.5,2.73,500.0,Yes,0.0
SHP-0387,East,Road,Standard,575.6,9.0,16.2,6.29,2015.0,Yes,0.0
SHP-0388,West,Road,Standard,155.7,28.4,47.7,6.45,1511.0,Yes,0.0
SHP-0389,North,Road,Express,421.5,13.1,17.7,5.27,1829.0,No,4.81
SHP-0390,West,Rail,Standard,226.3,108.1,145.6,5.78,4856.0,Yes,0.0
SHP-0391,East,Road,Express,635.2,11.1,20.8,6.24,2476.0,Yes,0.0
SHP-0392,North,Air,Express,765.1,10.1,9.7,1.24,7405.0,Yes,0.0
SHP-0393,East,Road,Standard,526.7,26.6,19.8,5.16,2908.0,No,0.5
SHP-0394,East,Road,Standard,784.9,46.6,63.0,6.91,4638.0,Yes,0.0
SHP-0395,North,Rail,Express,90.9,20.8,22.1,4.95,1200.0,Yes,0.0
SHP-0396,South,Air,Standard,471.8,27.5,29.0,0.77,4798.0,No,2.94
SHP-0397,West,Road,Standard,571.0,7.3,5.0,5.13,2136.0,No,4.57
SHP-0398,South,Road,Express,613.0,13.8,19.3,5.37,3182.0,Yes,0.0
SHP-0399,South,Road,Standard,129.6,11.1,10.9,3.99,904.0,Yes,0.0
SHP-0400,South,Road,Standard,552.0,7.1,6.3,6.22,1971.0,Yes,0.0
SHP-0401,South,Road,Standard,620.5,21.4,15.0,5.28,3095.0,No,3.24
SHP-0402,West,Road,Standard,468.7,5.9,6.5,6.14,1941.0,Yes,0.0
SHP-0403,West,Road,Express,192.1,9.7,17.0,2.85,1093.0,Yes,0.0
SHP-0404,North,Road,Standard,311.7,14.9,16.0,6.23,1696.0,Yes,0.0
SHP-0405,West,Air,Standard,845.8,12.7,19.1,1.42,7747.0,Yes,0.0
SHP-0406,West,Rail,Standard,793.0,25.0,39.9,8.55,2548.0,No,3.08
SHP-0407,South,Road,Express,565.0,23.8,25.2,5.49,3411.0,No,1.58
SHP-0408,West,Road,Standard,642.8,32.8,55.1,7.52,2940.0,Yes,0.0
SHP-0409,North,Road,Express,741.1,30.4,46.0,6.09,3791.0,Yes,0.0
SHP-0410,West,Road,Standard,561.3,37.6,50.7,6.38,3225.0,Yes,0.0
SHP-0411,East,Rail,Express,832.4,20.1,13.1,9.14,1808.0,No,1.95
SHP-0412,East,Air,Express,817.0,23.7,16.5,1.45,8015.0,Yes,0.0
SHP-0413,North,Air,Express,1400.0,26.6,50.3,2.33,12889.0,No,6.62
SHP-0414,West,Air,Express,319.5,21.7,35.3,0.5,3670.0,No,3.95
SHP-0415,North,Air,Standard,323.0,16.1,29.4,1.0,3931.0,Yes,0.0
SHP-0416,North,Air,Express,72.6,16.7,29.7,1.1,1955.0,Yes,0.0
SHP-0417,North,Road,Standard,537.8,12.8,8.7,5.03,2047.0,Yes,0.0
SHP-0418,West,Road,Standard,1173.3,25.3,41.5,8.55,3878.0,Yes,0.0
SHP-0419,North,Road,Express,869.2,19.1,23.2,5.37,3946.0,No,3.06
SHP-0420,West,Road,Express,687.9,13.9,22.8,5.87,3399.0,Yes,0.0
SHP-0421,East,Road,Standard,902.6,14.0,9.2,7.25,2730.0,No,0.64
SHP-0422,North,Rail,Standard,576.8,10.3,10.4,9.29,1364.0,No,1.0
SHP-0423,North,Road,Standard,366.2,34.4,54.7,5.45,2579.0,Yes,0.0
SHP-0424,North,Road,Standard,1336.8,21.0,34.4,9.87,3712.0,Yes,0.0
SHP-0425,East,Road,Standard,553.0,12.5,17.8,5.71,2100.0,Yes,0.0
SHP-0426,West,Road,Standard,807.0,31.3,32.2,6.95,3517.0,No,1.49
SHP-0427,North,Road,Standard,90.6,14.8,15.3,3.41,693.0,Yes,0.0
SHP-0428,West,Air,Standard,100.7,9.3,17.2,1.33,988.0,Yes,0.0
SHP-0429,North,Road,Express,480.4,35.2,42.2,4.65,3417.0,Yes,0.0
SHP-0430,West,Rail,Standard,247.5,14.9,18.1,5.96,1552.0,Yes,0.0
SHP-0431,West,Road,Express,506.0,16.0,21.5,4.03,2626.0,Yes,0.0
SHP-0432,West,Road,Standard,322.7,20.5,23.9,3.98,1607.0,Yes,0.0
SHP-0433,East,Road,Standard,1400.0,37.7,50.5,7.78,6293.0,Yes,0.0
SHP-0434,West,Rail,Standard,771.2,20.3,24.2,8.47,1616.0,Yes,0.0
SHP-0435,North,Rail,Standard,951.6,10.4,17.5,10.68,2693.0,Yes,0.0
SHP-0436,North,Road,Express,112.4,27.1,48.4,2.23,1869.0,Yes,0.0
SHP-0437,North,Air,Standard,682.7,15.4,27.9,1.45,6906.0,No,3.67
SHP-0438,East,Road,Standard,391.9,56.7,76.9,7.0,3792.0,Yes,0.0
SHP-0439,West,Air,Express,961.8,20.1,24.1,1.6,9715.0,No,2.14
SHP-0440,East,Road,Express,627.3,5.9,9.0,6.0,2592.0,No,2.5
SHP-0441,West,Road,Standard,425.9,24.4,41.5,5.92,1740.0,Yes,0.0
SHP-0442,North,Rail,Standard,204.6,58.5,79.2,6.77,2079.0,Yes,0.0
SHP-0443,West,Road,Standard,475.0,47.8,72.9,4.49,3225.0,Yes,0.0
SHP-0444,North,Road,Standard,835.1,55.0,87.3,6.84,4268.0,Yes,0.0
SHP-0445,South,Road,Standard,993.0,11.5,17.1,6.41,3218.0,Yes,0.0
SHP-0446,East,Road,Standard,352.0,33.2,52.5,7.34,2252.0,Yes,0.0
SHP-0447,West,Rail,Express,1400.0,13.5,12.3,10.57,3759.0,No,1.45
SHP-0448,East,Air,Standard,798.7,22.7,28.9,2.21,7915.0,No,1.68
SHP-0449,North,Air,Standard,250.6,10.0,13.8,1.08,2219.0,Yes,0.0
SHP-0450,East,Road,Standard,216.7,14.1,9.2,3.86,782.0,No,2.81
SHP-0451,North,Road,Express,406.7,13.8,23.8,5.58,2310.0,No,2.7
SHP-0452,West,Road,Standard,351.5,32.9,46.5,6.97,2619.0,No,5.4
SHP-0453,East,Road,Express,579.4,31.2,25.3,5.22,3703.0,Yes,0.0
SHP-0454,North,Road,Express,446.3,23.4,39.1,3.73,2145.0,Yes,0.0
SHP-0455,North,Air,Standard,369.4,9.6,14.8,0.5,3385.0,Yes,0.0
SHP-0456,North,Air,Standard,161.1,16.9,27.0,1.55,1505.0,Yes,0.0
SHP-0457,West,Rail,Standard,638.3,13.3,15.2,8.32,1455.0,Yes,0.0
SHP-0458,South,Road,Standard,152.8,32.4,55.7,3.9,2185.0,No,1.58
SHP-0459,West,Road,Express,800.2,38.4,44.8,6.24,3917.0,Yes,0.0
SHP-0460,East,Road,Standard,119.8,35.9,49.0,4.91,689.0,Yes,0.0
SHP-0461,East,Road,Express,147.5,13.3,8.6,4.16,1055.0,Yes,0.0
SHP-0462,North,Road,Standard,249.9,5.0,7.3,4.52,976.0,No,8.67
SHP-0463,West,Road,Standard,332.9,7.6,11.8,4.25,1448.0,No,2.03
SHP-0464,South,Road,Standard,292.9,43.9,59.7,5.43,2289.0,Yes,0.0
SHP-0465,East,Air,Standard,332.1,16.1,20.5,2.33,3856.0,No,1.6
SHP-0466,East,Road,Standard,511.9,13.3,22.1,6.79,1197.0,No,1.21
SHP-0467,East,Air,Standard,253.5,49.6,74.4,2.8,3946.0,Yes,0.0
SHP-0468,West,Road,Standard,514.6,40.3,40.2,4.71,2631.0,No,4.5
SHP-0469,North,Road,Express,91.2,20.4,37.6,2.28,2065.0,No,4.71
SHP-0470,East,Road,Standard,247.7,17.1,26.2,4.54,924.0,Yes,0.0
SHP-0471,South,Road,Express,143.2,18.7,35.2,2.76,1826.0,Yes,0.0
SHP-0472,South,Road,Standard,795.0,22.8,42.4,7.42,3234.0,Yes,0.0
SHP-0473,North,Road,Standard,274.4,48.4,87.1,5.12,3115.0,Yes,0.0
SHP-0474,North,Air,Standard,615.6,25.3,40.4,3.2,5496.0,No,1.69
SHP-0475,South,Road,Standard,128.3,29.9,42.3,4.59,1235.0,Yes,0.0
SHP-0476,South,Road,Standard,983.7,38.2,33.1,7.74,3618.0,No,2.34
SHP-0477,South,Road,Standard,461.7,10.6,14.0,6.48,1912.0,No,0.75
SHP-0478,East,Road,Express,431.0,30.4,48.9,5.36,3179.0,Yes,0.0
SHP-0479,East,Road,Standard,162.3,17.1,22.2,4.83,1539.0,Yes,0.0
SHP-0480,South,Road,Standard,229.0,5.0,8.7,5.79,634.0,Yes,0.0
SHP-0481,South,Air,Standard,376.5,6.2,5.0,2.12,3711.0,Yes,0.0
SHP-0482,North,Rail,Standard,234.5,11.5,12.9,6.21,1190.0,Yes,0.0
SHP-0483,East,Rail,Standard,750.4,26.9,34.5,8.87,1709.0,No,0.75
SHP-0484,South,Road,Standard,453.6,21.4,25.5,6.07,2371.0,No,0.72
SHP-0485,North,Road,Standard,236.3,22.2,17.5,5.64,1602.0,Yes,0.0
SHP-0486,South,Air,Standard,685.4,58.7,49.4,2.44,7377.0,No,0.94
SHP-0487,South,Road,Express,346.9,10.0,17.0,5.32,1434.0,Yes,0.0
SHP-0488,North,Road,Standard,667.6,19.8,24.8,4.89,2725.0,Yes,0.0
SHP-0489,East,Road,Express,314.0,23.7,16.9,4.52,2055.0,No,3.32
SHP-0490,East,Rail,Standard,591.1,13.4,9.0,8.63,1370.0,No,3.45
SHP-0491,East,Rail,Standard,339.5,20.4,25.3,6.79,1164.0,No,0.5
SHP-0492,East,Rail,Express,750.6,8.3,7.1,10.49,2470.0,No,1.68
SHP-0493,East,Rail,Standard,130.0,43.6,66.8,6.18,1817.0,Yes,0.0
SHP-0494,South,Road,Express,194.5,13.8,22.7,3.44,1384.0,Yes,0.0
SHP-0495,West,Air,Standard,397.1,61.4,57.4,2.09,5516.0,Yes,0.0
SHP-0496,East,Road,Standard,282.0,19.7,27.4,3.73,1816.0,Yes,0.0
SHP-0497,South,Rail,Express,333.2,35.4,29.8,5.58,2872.0,Yes,0.0
SHP-0498,East,Road,Standard,630.8,19.5,20.1,7.31,1944.0,No,1.02
SHP-0499,South,Air,Standard,329.0,19.7,34.8,1.5,3377.0,Yes,0.0
SHP-0500,East,Road,Standard,525.5,14.6,19.4,5.55,1617.0,No,2.26
